,0
0,32.667080517453556
1,21.53915102785737
2,17.5540252411192
3,18.08070555225604
4,11.625737010521073
5,14.09528639200791
6,15.1868376975204
7,35.507791514291725
8,23.53466745366684
9,16.37067335670492
10,27.80145084282448
11,17.981873048077
12,34.17959151019424
13,35.120534525545544
14,27.904585710550954
15,21.46172222324777
16,14.641123404227711
17,26.511483487747707
18,13.631681013798703
19,32.304397466846694
20,21.000455446541686
21,33.094709294168226
22,18.76139158197907
23,14.97593011050542
24,24.159746892033983
25,33.91053687256331
26,37.39779657092322
27,13.02322525552395
28,19.018008271346396
29,16.849014190735613
30,14.14620062259039
31,25.86468510883959
32,25.618254733044413
33,28.228353246413146
34,28.36332651166846
35,34.53667375310563
36,14.463139229785458
37,30.435883720732335
38,23.674484358942077
39,16.71034055581029
40,31.763679105713187
41,12.11035565136988
42,17.74761712999169
43,13.777835979812494
44,18.468615072858114
45,26.076529311485277
46,10.823584455899113
47,35.82912967393917
48,27.20606879783695
49,33.79590393741189
50,12.881850597752418
51,38.05708844144773
52,28.822550920302735
53,14.30887213655918
54,10.917395866246938
55,17.92276973581047
56,25.633190431214835
57,35.468204549263476
58,21.10220413921756
59,29.701476528238583
60,17.926996983482596
61,39.82535313664792
62,25.992262494032722
63,36.38857825286573
64,37.19457776269671
65,34.884362970579595
66,16.85378588786796
67,36.767106224290686
68,14.869780135070929
69,38.69674491130759
70,26.15670516604305
71,12.43352268840157
72,21.371786085417405
73,30.620288755714864
74,35.3830102298948
75,21.693837022801688
76,21.66137395584572
77,19.968111089338144
78,32.841700547108196
79,23.5334341999215
80,18.362174765014952
81,38.71060759105215
82,33.50965435458536
83,38.50527377957654
84,11.188683706803198
85,13.454413541065463
86,38.96185230921692
87,37.85513360444928
88,36.40874652807227
89,15.722294195757888
90,10.23182666904837
91,39.7685233924212
92,16.996480640971733
93,25.88878088494453
94,10.341502408886203
95,19.453212931581664
96,20.48340494682643
97,14.662244536663128
98,10.860419489262226
99,27.9370654988563
100,34.74201761364463
101,27.890192131173176
102,39.80601048189173
103,25.309136406033147
104,15.868506774647832
105,19.780858272023593
106,27.285088468903286
107,30.924409264244797
108,26.030403358235944
109,11.972335378594023
110,25.092314167780174
111,11.230166300299922
112,17.4620272020402
113,36.73079989241873
114,21.000801378991035
115,17.313498494210926
116,28.014168865018043
117,15.00582166233408
118,29.237571274244555
119,22.372658481795362
120,26.84454811322677
121,13.34169661091142
122,27.01493869605676
123,20.6150267448056
124,10.710604202259626
125,23.59924456476788
126,38.193688092266655
127,15.779758813221667
128,13.87928348236311
129,12.318551037447602
130,13.248676636540896
131,37.09056822734843
132,14.185385828439632
133,30.918993905489224
134,20.532326172952125
135,14.078488794473573
136,11.575372477049996
137,31.808207169261273
138,14.650492533370858
139,21.42121265823056
140,15.97723993545014
141,16.38681369981288
142,26.012066620868186
143,38.45756342307685
144,37.930099904245864
145,36.01438959722013
146,37.00272803674753
147,23.926064076323037
148,26.997029475186
149,12.831211414496204
150,27.046296581449976
151,31.58182251629685
152,19.888234924153835
153,20.5468710488621
154,33.523014713807505
155,25.130288789187034
156,22.532818440405308
157,30.75627546056684
158,12.295046991716148
159,36.11601008044407
160,33.341824152914036
161,15.718348386003228
162,29.286550296151013
163,27.268732751736696
164,34.67990198048533
165,16.391781102951477
166,29.300073056011065
167,25.404613091392452
168,22.28753305357748
169,11.959822688582419
170,11.671990967190911
171,17.16724191236625
172,31.283236231373255
173,13.578490170108484
174,31.173589961922083
175,22.01836579302699
176,24.39411061523174
177,20.01077586239966
178,34.971050359405524
179,39.847495610663984
180,36.302507456478615
181,10.275988410165924
182,31.572792666298717
183,35.38580915137895
184,38.472796820784225
185,17.86609388403332
186,27.079506664165987
187,38.97798259695886
188,23.52594917265634
189,27.742957550692527
190,39.22160980593255
191,17.368701768225776
192,26.320768792050945
193,19.341923254729068
194,18.09309326010621
195,30.298534293651873
196,23.278931963066924
197,12.750448782783039
198,24.24876506240835
199,33.99092509472102
200,12.50559369188803
201,19.018608257208278
202,23.739770221992185
203,15.294184265822999
204,27.03383144311057
205,13.423675471476018
206,28.840809260621064
207,25.999723707657726
208,39.744894606353554
209,36.115843490396486
210,14.70120312723582
211,18.62391728457112
212,14.294615069931726
213,33.07222234849507
214,27.891536637474914
215,31.510442576701863
216,39.11982418510671
217,21.95457653706353
218,31.695290427365325
219,36.18185072789349
220,28.367016954660453
221,18.065749368504555
222,36.50537536653674
223,36.77813207497452
224,22.60464625743284
225,25.248499244897975
226,35.6811339491992
227,25.13063297551497
228,14.673194754531103
229,35.66888382475956
230,28.296219822839507
231,29.948570418151093
232,31.27453502404916
233,22.95097592695705
234,18.57018336989203
235,24.29528415871161
236,10.90560248567914
237,35.425020137163116
238,30.064871853645695
239,30.53480458901636
240,20.960948537121734
241,11.85941384430168
242,37.11297971861012
243,24.080156907417546
244,28.31198907446002
245,21.481778673353915
246,12.755724723020574
247,10.973902303007444
248,20.724600419899954
249,38.85757299755437
250,18.790008204281428
251,29.572030148738353
252,30.888225637089352
253,33.159155325425075
254,14.14360974995679
255,26.09913090438149
256,20.40843309043751
257,10.135427719890847
258,19.70932485253907
259,33.1337338539607
260,32.52450979696097
261,33.10267618610798
262,13.337395983848713
263,31.41438074699592
264,21.61750361012259
265,26.957397271648947
266,27.52690983686451
267,12.030153657634319
268,20.279022312260466
269,11.21057809213315
270,33.38612576418774
271,11.284355723609051
272,18.575400390734778
273,16.308026886939338
274,31.957043589383787
275,10.030916151072836
276,26.475736288780258
277,14.33584173719476
278,35.509611534689725
279,15.358583962444836
280,15.797280210213327
281,12.01525340742772
282,33.42435158665756
283,36.35937712201247
284,36.75635110603103
285,37.79629166776723
286,10.08627155867659
287,37.72252149148706
288,24.130116070142876
289,33.309033390093916
290,11.503125983916547
291,31.345165366638334
292,38.970931319675955
293,16.164892986714573
294,37.420847862184715
295,17.78832262131298
296,37.734165855046285
297,31.890539385791755
298,33.83258627627163
299,19.6775947501544
300,27.178301301956303
301,18.763897947842118
302,26.722080987802478
303,26.429440887495275
304,25.38216817218251
305,37.81236514907459
306,12.414062658544953
307,22.64517715554777
308,37.760905243562505
309,10.061458190927226
310,27.499856992711017
311,14.83251487732401
312,23.020126552547552
313,10.807172925953502
314,24.610075550919937
315,28.463707503250976
316,34.1400584799439
317,17.833997481704717
318,25.10425199595902
319,29.505544892687283
320,36.15093094997401
321,13.36745111291063
322,13.062213592623264
323,26.395663793379878
324,17.26436536260704
325,14.138085955128831
326,13.967315523059536
327,34.1818366778155
328,27.172814011704382
329,22.54928125785669
330,23.385095225140944
331,33.0714644084986
332,30.382815038368925
333,23.023313504098745
334,28.849977408200715
335,14.46428624209198
336,12.992437519563799
337,30.903107228837484
338,12.35435272994124
339,17.948553725172445
340,31.046940342914368
341,35.44789633932098
342,27.51658637682051
343,31.256291304680268
344,23.994100815464925
345,23.923257479780204
346,18.059847043158328
347,16.188814093546387
348,23.25680581093736
349,29.232978119567484
350,32.89873521287248
351,27.262319239603162
352,35.18510821373538
353,27.47768636640601
354,15.29559698362147
355,14.389695042331052
356,27.92863371148088
357,10.605801120449808
358,24.74029890668916
359,24.370807925891132
360,32.982455062119016
361,11.097031284349256
362,33.92183988404821
363,15.848589918900128
364,35.73216095372374
365,33.207451969533594
366,10.636630725032738
367,17.244772134777996
368,29.436557503315143
369,32.24710728984724
370,32.42387090134444
371,29.76344644663735
372,12.101857325039575
373,39.81140595358656
374,17.21715395678144
375,32.70998652790318
376,36.33213642162315
377,17.42262345732133
378,11.682187727922301
379,14.45048604117958
380,14.574759320301991
381,14.90410025264384
